Date,BTC_Price,MSTR_Price,BTC_Holdings,NAV,Market_Cap,NAV_Premium
2022-02-23,37296.5703125,36.50299835205078,124391.0,4639357677.7421875,8906731597.90039,0.9198199872864694
2022-02-24,38332.609375,39.69599914550781,124391.0,4768231612.765625,9685823791.503906,1.031324100442769
2022-02-25,39214.21875,40.5,124391.0,4877895884.53125,9882000000.0,1.0258734983126085
2022-02-26,39105.1484375,,124391.0,4864328519.2890625,,
2022-02-27,37709.78515625,,124391.0,4690757885.371094,,
2022-02-28,43193.234375,44.29999923706055,124391.0,5372849617.140625,10809199813.842773,1.0118187896714887
2022-03-01,44354.63671875,46.472999572753906,124391.0,5517317616.082031,11339411895.751953,1.0552400069735914
2022-03-02,43924.1171875,45.92900085449219,124391.0,5463764861.0703125,11206676208.496094,1.05109050141312
2022-03-03,42451.7890625,42.869998931884766,124391.0,5280620493.2734375,10460279739.379883,0.9808807985168412
2022-03-04,39137.60546875,41.0359992980957,124391.0,4868365881.863281,10012783828.735352,1.0567032289083282
2022-03-05,39400.5859375,,124391.0,4901078285.3515625,,
2022-03-06,38419.984375,,124391.0,4779100276.390625,,
2022-03-07,38062.0390625,38.89099884033203,124391.0,4734575101.0234375,9489403717.041016,1.0042777893606045
2022-03-08,38737.26953125,41.0359992980957,124391.0,4818567694.261719,10012783828.735352,1.0779585271073937
2022-03-09,41982.92578125,43.67499923706055,124391.0,5222298120.855469,10656699813.842773,1.0406149873529418
2022-03-10,39437.4609375,42.112998962402344,124391.0,4905665203.4765625,10275571746.826172,1.0946337184902155
2022-03-11,38794.97265625,39.082000732421875,124391.0,4825745443.683594,9536008178.710938,0.9760694570395533
2022-03-12,38904.01171875,,124391.0,4839308921.707031,,
2022-03-13,37849.6640625,,124391.0,4708157562.3984375,,
2022-03-14,39666.75390625,36.99300003051758,124391.0,4934187185.152344,9026292007.44629,0.8293371671442985
2022-03-15,39338.78515625,39.61399841308594,124391.0,4893390824.371094,9665815612.792969,0.9752797108813058
2022-03-16,41143.9296875,42.87799835205078,124391.0,5117934557.7578125,10462231597.90039,1.0442292647219655
2022-03-17,40951.37890625,43.40900039672851,124391.0,5093982973.527344,10591796096.801756,1.079275912747591
2022-03-18,41801.15625,45.428001403808594,124391.0,5199687627.09375,11084432342.529297,1.1317496621858982
2022-03-19,42190.65234375,,124391.0,5248137435.691406,,
2022-03-20,41247.82421875,,124391.0,5130858102.394531,,
2022-03-21,41077.99609375,43.64799880981445,124391.0,5109733012.097656,10650111709.594727,1.0842794886503522
2022-03-22,42358.80859375,45.994998931884766,124391.0,5269054559.785156,11222779739.379883,1.129941835302895
2022-03-23,42892.95703125,45.069000244140625,124391.0,5335497818.074219,10996836059.570312,1.0610702945689674
2022-03-24,43960.93359375,48.391998291015625,124391.0,5468344490.660156,11807647583.007812,1.1592728115748894
2022-03-25,44348.73046875,47.242000579833984,124391.0,5516582931.738281,11527048141.479492,1.0895268473462987
2022-03-26,44500.828125,,124391.0,5535502511.296875,,
2022-03-27,46820.4921875,,124391.0,5824047843.6953125,,
2022-03-28,47128.00390625,51.0,124391.0,5862299533.902344,12444000000.0,1.122716508775257
2022-03-29,47465.73046875,52.0,124391.0,5904309678.738281,12688000000.0,1.1489387736029721
2022-03-30,47062.6640625,50.069000244140625,124391.0,5854171845.3984375,12216836059.570312,1.0868598295714753
2022-03-31,45538.67578125,48.63199996948242,124391.0,5664601419.105469,11866207992.55371,1.094800165909568
2022-04-01,46281.64453125,49.097999572753906,124391.0,5757020044.886719,11979911895.751953,1.0809223873368818
2022-04-02,45868.94921875,,124391.0,5705684462.269531,,
2022-04-03,46453.56640625,,124391.0,5778405578.839844,,
2022-04-04,46622.67578125,50.125999450683594,124391.0,5799441263.105469,12230743865.966797,1.1089521060891843
2022-04-05,45555.9921875,48.72800064086914,124391.0,5666755424.1953125,11889632156.37207,1.0981375172125794
2022-04-06,43206.73828125,45.51100158691406,124391.0,5374529381.542969,11104684387.207031,1.0661687003409772
2022-04-07,43503.84765625,46.36100006103515,124391.0,5411487113.808594,11312084014.892576,1.0903836185856044
2022-04-08,42287.6640625,45.32400131225586,124391.0,5260204820.3984375,11059056320.19043,1.1024003242810523
2022-04-09,42782.13671875,,124391.0,5321712768.582031,,
2022-04-10,42207.671875,,124391.0,5250254512.203125,,
2022-04-11,39521.90234375,43.63899993896485,124391.0,4916168954.441406,10647915985.107424,1.1658970803856923
2022-04-12,40127.18359375,44.345001220703125,124391.0,4991460494.410156,10820180297.851562,1.1677383423086052
2022-04-13,41166.73046875,46.358001708984375,124391.0,5120770769.738281,11311352416.992188,1.2089159866006465
2022-04-14,39935.515625,44.91899871826172,124391.0,4967618724.109375,10960235687.25586,1.2063359319551799
2022-04-15,40553.46484375,,124391.0,5044486045.378906,,
2022-04-16,40424.484375,,124391.0,5028442035.890625,,
2022-04-17,39716.953125,,124391.0,4940431516.171875,,
2022-04-18,40826.21484375,44.5890007019043,124391.0,5078413690.628906,10879716171.264648,1.142345392487573
2022-04-19,41502.75,47.11399841308594,124391.0,5162568575.25,11495815612.792969,1.2267627916664097
2022-04-20,41374.37890625,44.90299987792969,124391.0,5146600366.527344,10956331970.214844,1.1288484028161687
2022-04-21,40527.36328125,42.7859992980957,124391.0,5041239245.917969,10439783828.735352,1.070876488789683
2022-04-22,39740.3203125,40.90800094604492,124391.0,4943338183.9921875,9981552230.83496,1.0191926708874215
2022-04-23,39486.73046875,,124391.0,4911793889.738281,,
2022-04-24,39469.29296875,,124391.0,4909624821.675781,,
2022-04-25,40458.30859375,42.79999923706055,124391.0,5032649464.285156,10443199813.842773,1.0750898483898557
2022-04-26,38117.4609375,39.10100173950195,124391.0,4741469083.4765625,9540644424.438477,1.0121705438692938
2022-04-27,39241.12109375,38.577999114990234,124391.0,4881242293.972656,9413031784.057617,0.9284090436733291
2022-04-28,39773.828125,40.04899978637695,124391.0,4947506254.296875,9771955947.875977,0.9751275583308461
2022-04-29,38609.82421875,35.41699981689453,124391.0,4802714644.394531,8641747955.322266,0.7993465352784277
2022-04-30,37714.875,,124391.0,4691391016.125,,
2022-05-01,38469.09375,,124391.0,4785209040.65625,,
2022-05-02,38529.328125,36.59099960327149,124391.0,4792701654.796875,8928203903.198244,0.8628749599429512
2022-05-03,37750.453125,34.34000015258789,124391.0,4695816614.671875,8378960037.231445,0.7843456686642636
